PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
"Plateronics Processing, Inc.",9164 Independence Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002922,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.237537,-118.591042
MTA Orange Line,Right of Way from Lankershim Blvd/Chandler Blvd to Canoga Park Ave/Victory Blvd,N. Hollywood to Woodland Hills,CA,91367,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,102,NONE SPECIFIED,NO,SMBRP,SMBRP,Jessy Fierro,Juli Propes,Cleanup Chatsworth,60000187,301216,46,27,32,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,10/29/2004 0:00,RAILROAD RIGHT OF WAY,"30001, 30013","3,000,130,013",SOIL,NO,NONE SPECIFIED,Responsible Party,34.19027,-118.59092
NMB Technologies Corporation,9730 Independence Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003741,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2469871,-118.590714
NEW HAMPSHIRE BALL BEARING,9730 INDEPENDENCE AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,8,2746002012,NO,SMBRP,SMBRP,Tajinder Gill,Jose Diaz,Cleanup Chatsworth,19380059,300681,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Active,6/30/2000 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, DEGREASING FACILITY, MANUFACTURING - METAL","30022, 30026, 30027, 30136, 30192, 30194, 30195","30,022,300,263,002,700,000,000,000,000,000,000","AQUI, SOIL, SV, IA",NO,NONE SPECIFIED,Responsible Party,34.24707781,-118.5899561
VOI-SHAN/CHATSWORTH,9631 DE SOTO AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,4,"2746-006-022, 2746006022",NO,SMBRP,SMBRP,Sara Vela,Javier Hinojosa,Cleanup Chatsworth,19340764,300540,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Certified,10/7/2015 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, DEGREASING FACILITY, MANUFACTURING - METAL, METAL PLATING - CHROME","30012, 30022, 30026, 30192, 30194, 30195, 30564","30,564,300,223,002,600,000,000,000,000,000,000","AQUI, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.24556425,-118.5898465
Kaiser Permanente - Woodland Hills,5601 De Soto Avenue,Woodland Hills,CA,91365,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003093,,46,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.170993,-118.589741
"Boeing North American, Inc., Canoga Park",8900 De Soto Avenue,Canoga Park,CA,91304,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002211,,46,20,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.233253,-118.588035
SAN CLEMENTE ISL AFS,,San Clemente Islan,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000089,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.02083333,-118.5875
SAN CLEMENTE ISL Camp Site B-3,,San Clemente Island,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000443,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.025,-118.5875
SAN CLEMENTE ISL Radar Sta B-3,,Sna Clemente Island,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000444,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.025,-118.5875
SAN CLEMENTE ISL Radar Sta J-4,,San Clemente Island,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000445,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.025,-118.5875
SAN CLEMENTE ISL VHF 8K2,,San Clemente Island,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000446,,69,33,42,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.025,-118.5875
Microwave Design & Manufacturing,9533 Irondale Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002299,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.243801,-118.586559
EL PROYECTO DEL BARRIO-CANOGA PARK CLINI,20800 SHERMAN WAY,CANOGA PARK,CA,91306,LOS ANGELES,Calmortgage,Calmortgage,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Juan Peng,Cleanup Sacramento,19800030,300586,46,20,32,,No Action Required,12/20/1995 0:00,NONE,"NONE SPECIFIED,31000",31000,NMA,NO,NONE SPECIFIED,CalMortgage,34.20052224,-118.5864895
PHASE V SCHOOL SITE,Interstate 5/Valencia Boulevard,Stevenson Ranch,CA,91381,LOS ANGELES,School Investigation,School,115.4,NONE SPECIFIED,NO,DTSC,DTSC,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19130109,304113,40,23,27,,No Further Action,1/19/2001 0:00,* OIL & GAS EXTRACTION,", 30015",NONE SPECIFIED,SV,NO,NONE SPECIFIED,School District,34.40183,-118.586433
ULTRA CIRCUITS INC,20751 MARILLA STREET,CHATSWORTH,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.5,"2748-004-043, 2748004043",NO,SMBRP,SMBRP,Manjul Bose,Andres Cano,Cleanup Chatsworth,19360482,300470,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Certified O&M - Land Use Restrictions Only,9/9/2014 0:00,"MACHINE SHOP, MANUFACTURING - ELECTRONIC","30005, 30022, 30026, 30027, 30194","3,002,230,026,300,270,000,000,000","AQUI, SOIL, SV, IA",YES," ASP, DAY, ELD, HOS, LUC, EX, GW, NOWN, NUSE, NSUB, SCH, COV, RES",Responsible Party,34.24843986,-118.5861568
Young Electronics,20750 Marilla Street,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003620,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.247681,-118.586126
Young Electronics,20750 Marilla Street,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003464,,40,27,32,,No Action Required,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.247681,-118.586126
PPG INDUSTRIES-WORKS 24,25663 W AVE STANFORD,VALENCIA,CA,913550000,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,SMBRP,WM,,* Unknown,Cleanup Chatsworth,80001363,,40,23,27,,No Action Required,5/31/2012 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.432529,-118.585752
Lee's Enterprises,20731 Marilla Street,Chatsworth,CA,91311,LOS ANGELES,Evaluation,Evaluation,1,2748004041,NO,SMBRP,SMBRP,Laura Radke,Andres Cano,Cleanup Chatsworth,60002792,301849,40,27,32,EPA - PASI,No Further Action,12/21/2021 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,EPA Grant,34.248468,-118.5854349
GERMAIN STREET ELEMENTARY,20730 Germain Street,Chatsworth,CA,91311,LOS ANGELES,School Cleanup,School,8.3,2706-012-900,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,19010030,300795,40,27,32,,Certified O&M - Land Use Restrictions Only,6/26/2014 0:00,AGRICULTURAL - ROW CROPS,30015,30015,"IA, SOIL, SV",YES,NONE SPECIFIED,School District,34.26178268,-118.5852924
"GRUBER SYSTEMS, INC",25636 STANFORD AVENUE,VALENCIA,CA,91355,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19220017,,40,23,27,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,8/21/1995 0:00,NONE SPECIFIED,30018,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.43166667,-118.5852778
"AEROSPACE DYNAMICS INTERNATIONAL, INC.",25571-25575 RYE CANYON ROAD,VALENCIA,CA,91355,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19380061,,40,23,27,,Refer: 1248 Local Agency,12/21/2001 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.43515178,-118.5844231
"Graphic Research, Inc.",9420 Lurline Avenue/Bldg B #F,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002909,,40,27,32,,No Action Required,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2413064,-118.5833902
"Electro Adapter, Inc.",20640 Nordhoff St,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002409,,46,20,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.23381,-118.582653
"Prototech Circuitry, Inc.",9615 Cozycroft Avenue #P,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002555,,40,27,32,,No Action Required,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.244994,-118.582585
"Ano-Plate, Inc.",9531 Cozycroft Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003619,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.243618,-118.5819921
ORGANON TEKNIKA CORP CHATSWORTH DIVISION,9556 COZYCROFT AVE.,CHATSWORTH,CA,913110000,LOS ANGELES,Corrective Action,Corrective Action,0,2748003082,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001698,,40,27,32,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.244335,-118.58143
Proposed Valley Region Span K-8 #2,Mason Street and Sesnon Boulevard,Porter Ranch,CA,91326,LOS ANGELES,Federal Superfund,School,12.8,2701-002-064,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000809,304586,40,27,27,,No Action Required,4/1/2008 0:00,NONE,"NONE SPECIFIED,31000",31000-NO,NMA,NO,NONE SPECIFIED,Responsible Party,34.2936,-118.5814
Proodos Properties Inc.,9737 Mason Avenue,Chatsworth,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,8.4,"2748-005-029, 2748005020, 2748005021, 2748005022, 2748005027, 2748005028, 2748005029, 2748005044, 2748005048",NO,SMBRP,SMBRP,Patrick Movlay,Jose Diaz,Cleanup Chatsworth,60001955,301640,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Active,12/26/2013 0:00,DRY CLEANING,31001,31001-NO,"SOIL, SV, UE",NO,NONE SPECIFIED,Responsible Party,34.24756169,-118.5805271
"CHATSWORTH PROCDUCTS, INC.",9541 MASON AVE,CHATSWORTH,CA,913110000,LOS ANGELES,Corrective Action,Corrective Action,0,2748003086,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001585,,40,27,32,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.244045,-118.580468
"Chatsworth Products, Inc.",9541 Mason Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002244,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.244045,-118.580468
Palace Cleaner,10312 Mason Devonshire Plaza,Chatsworth,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.04,NONE SPECIFIED,NO,SMBRP,SMBRP,Narine Aghakiant,Jose Diaz,Cleanup Chatsworth,60002136,301696,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Active,1/13/2015 0:00,DRY CLEANING,"30022, 30535, 30536",30022,"SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.257521,-118.579796
"Graphic Research, Inc.",9334 Mason Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002316,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2404253,-118.5797621
"GRAPHIC-RESEARCH, INC.",9334 MASON AVE,CHATSWORTH,CA,913110000,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001645,,40,27,32,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.240483,-118.579156
"Hydraulics International, Inc.",9000 Mason Ave,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003829,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.23473,-118.579059
OSO AVENUE ELEMENTARY SCHOOL,5724 Oso Avenue,Woodland Hills,CA,91367,LOS ANGELES,School Investigation,School,7.09,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820111,304417,46,27,32,,Inactive - Withdrawn,11/14/2003 0:00,* EDUCATIONAL SERVICES,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.1749,-118.5771
"Ambitech, Inc.",8944 Fullbright Avenue,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002778,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.233558,-118.576949
CIRTEC DIVISION OF INTERLINK CORP,8944 FULLBRIGHT,CHATSWORTH,CA,913110000,LOS ANGELES,Corrective Action,Corrective Action,2,"2781001016, 2781001023",NO,SMBRP,WM,Viktoriya Anashkina,Jose Diaz,Cleanup Chatsworth,80001408,301554,40,27,32,,Certified O&M - Land Use Restrictions Only,1/25/2013 0:00,"ABOVE GROUND STORAGE TANKS, HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, HAZARDOUS WASTE TREATMENT, MACHINE SHOP, MANUFACTURING - ELECTRONIC, METAL PLATING - CHROME, METAL PLATING - OTHER, METAL RECLAMATION, PHOTOGRAPHIC PROCESSING, RECYCLING - OTHER, WASTE - INDUSTRIAL TREATMENT FACILITY, ABOVE GROUND STORAGE TANKS, MANUFACTURING - ELECTRONIC, METAL PLATING - OTHER, METAL RECLAMATION, WASTE - INDUSTRIAL TREATMENT FACILITY, WASTE - INDUSTRIAL WASTE LINE, HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, MACHINE SHOP, MANUFACTURING - ELECTRONIC, METAL RECLAMATION, WASTE - INDUSTRIAL TREATMENT FACILITY","30005, 30013, 30032, 30156, 30386, 30407, 30548, 30594, 30022, 30027, 30005, 30013, 30152, 30153, 30154, 30156, 30402, 30407, 30594, 30005, 30013, 30152, 30153, 30156, 30407, 30548, 30594","30005-NO,30013,30022,30027,30032-NO,30156,30386-NO,30407,30548,30594,, ,30156,30402,30594,30154,, ,30548,30156,30407,30594,30013","SOIL, SV, AQUI, SOIL, SOIL, SV",YES,NONE SPECIFIED,,34.233554,-118.576937
STEVENSON RANCH,Stevenson Ranch Parkway/Pico Canyon Road,Newhall,CA,91381,LOS ANGELES,School Investigation,School,8.42,NONE SPECIFIED,NO,DTSC,DTSC,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19000005,304165,40,23,27,,No Action Required,6/2/2000 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.3817,-118.5765
20200 Sunburst Street Property,20200 Sunburst Street,Chatsworth,CA,91311,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,1.2,"2781-035-007, 2781035007",NO,SMBRP,SMBRP,Antonio Sandoval,Andres Cano,Cleanup Chatsworth,60002612,301818,40,27,32,Voluntary Agreement - Standard Voluntary Agreement,Active,2/1/2018 0:00,"MANUFACTURING - OTHER, UNDERGROUND STORAGE TANKS","30022, 30027","3,002,230,027","AQUI, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,34.23404,-118.573743
JM MCGRATH ELEMENTARY SCHOOL,Dockweiler Drive/Valle del Oro,Santa Clarita,CA,91355,LOS ANGELES,School Investigation,School,8.3,NONE SPECIFIED,NO,DTSC,DTSC,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19130107,304199,40,23,27,,No Further Action,7/17/2001 0:00,* OIL & GAS EXTRACTION,"30015, 30330","30330-NO,30015-NO",SV,NO,NONE SPECIFIED,School District,34.4173,-118.5733
"Novacap, Inc.",25111 Anza Drive,Valencia,CA,91355,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003055,,40,23,27,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.4317769,-118.572863
LOS ANGELES PIERCE COLLEGE,6201 WINNETKA AVENUE,WOODLAND HILLS,CA,91371,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,426,2149007902,NO,"SMBRP, US EPA",SMBRP,Manjul Bose,Andres Cano,Cleanup Chatsworth,19820011,301737,46,27,32,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,2/9/2017 0:00,SCHOOL - COLLEGE,"10097, 30013",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,EPA Grant,34.18277778,-118.5708333
COMMERCIAL RECOVERY,8933 WINNETKA AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,Historical,* Historical,0,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19360508,,40,27,32,* Site Char & Assess Grant (CERCLA 104),No Further Action,10/25/1994 0:00,UNKNOWN,"30027, 30032","30027-NO,30032-NO",NMA,NO,NONE SPECIFIED,,34.23222222,-118.5708333
"Los Angeles Times, Div. Of Times Mirror Corp",20000 Prairie Street,Chatsworth,CA,91311,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002719,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.237321,-118.569511
"Valley Region Elementary School #10 Site 6, 5640046",Valerio Street/Lubao Avenue,Canoga Park,CA,91306,LOS ANGELES,School Cleanup,School,12.1,2115-001-900,NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000262,304525,46,20,32,,Certified O&M - Land Use Restrictions Only,12/13/2011 0:00,"NONE, AGRICULTURAL - ROW CROPS","30001, 30004, 30013","300,013,000,430,013",SOIL,YES,NONE SPECIFIED,School District,34.203,-118.5695
CVCI Discovery and Enforcement (D&E) Statewide Program,Statewide,Statewide,CA,0,LOS ANGELES,State Response,State Response or NPL,1,NONE SPECIFIED,NO,SMBRP,SMBRP,Rafat Abbasi,Marissa Cozette,CVCI Discovery and Enforcement,60003235,DTSCCVDE,40,27,32,CVCI - Discovery and Enforcement,Active,7/1/2021 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,CVCI 2021,34.2386603,-118.5676604
WESTCREEK ELEMENTARY SCHOOL,Copper Hill Drive,Santa Clarita,CA,91355,LOS ANGELES,School Investigation,School,10,NONE SPECIFIED,NO,DTSC,DTSC,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650029,304377,40,23,27,,No Action Required,10/23/2002 0:00,NONE,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.4574,-118.5671
"Micro Matic USA, Inc.",19791 Bahama Street,Northridge,CA,91324,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003668,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2334371,-118.5645365
Chime Charter Elementary School Expansion,19722 Collier Street,Woodland Hills,CA,91364,LOS ANGELES,School Investigation,School,6.51,NONE SPECIFIED,NO,SMBRP,SMBRP,Joe Hwong,Shahir Haddad,Southern California Schools & Brownfields Outreach,60001138,304624,46,27,32,,No Further Action,4/6/2010 0:00,"AGRICULTURAL - LIVESTOCK, AGRICULTURAL - ORCHARD, AGRICULTURAL - ROW CROPS","30001, 30004, 30006, 30007, 30008, 30010, 30023, 30043, 30207, 30261, 30308, 30309, 30313, 30314, 30315, 30316, 30400","30001-NO,30004-NO,30207-NO,30309-NO,30313-NO,30314-NO,30315-NO,30316-NO,30400-NO,30023-NO,30261-NO,30043-NO,30308-NO,30006-NO,30007-NO,30008-NO,30010-NO",SOIL,NO,NONE SPECIFIED,School District,34.1657195,-118.5628327
VALENCIA TOWN CENTER CINEMA GARAGE,24305 TOWN CENTER DRIVE,VALENCIA,CA,91355,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19150004,,40,23,27,,Refer: 1248 Local Agency,2/25/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.41768898,-118.5607394
Teledyne Electronic Systems,19601 Nordhoff Street,Northridge,CA,91324,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002398,,40,27,32,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.2320169,-118.560084
DOC MILGROM'S CLEANING CLINIC (FORMER),19524 NORDHOFF ST.,NORTHRIDGE,CA,91324,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19720043,,40,27,32,,Refer: 1248 Local Agency,9/3/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.2344268,-118.5587799
PORTER RANCH CLEANERS,19450 RINALDI ST.,NORTHRIDGE,CA,91326,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19720058,,40,27,27,,Refer: 1248 Local Agency,6/9/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.27385697,-118.5574042
